ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.016220740776997426,0.0005845788608810849,0.03596961622157707,0.19946190103651193,0.7477631631040326
2,0.8068017991805567,0.00243093194494403,0.009992141966331336,0.12844264770645222,0.052332479201715805
3,0.3864575996182827,0.0008083816690871688,0.009609237041354704,0.10141292293832585,0.5017118587329497
4,0.22238785750647116,0.002004135595801399,0.020786829389033493,0.10338140534549205,0.651439772163202
5,0.39434251863054287,0.00026977651112002407,0.0036514658180518728,0.5134001986650083,0.08833604037527702
6,0.194381533227226,0.00037302960017423424,0.0330629285487929,0.5854999922738784,0.18668251634992838
7,0.21629116742626228,0.0030719478109553305,0.5557859812963347,0.13942106230648077,0.08542984115996684
8,0.8886800348207248,0.002791345216102465,0.004093410167675923,0.01106136387474117,0.09337384592075558
9,0.8163342766370973,5.663231634247733e-05,0.0005178280264088801,0.15520007913043588,0.027891183889715496
10,0.4866408078905115,0.0004296114489257352,0.050570865572567694,0.3985346971972149,0.0638240178907802
11,0.773762940272948,0.0002513041914323731,0.0006935220467623974,0.16733972194985397,0.05795251153900323
12,0.012595539235235093,0.0013617709158505805,0.38282057757492305,0.23087663411499137,0.3723454781589999
13,0.7921381561460085,0.0001383677216732701,0.0016299197864750878,0.09295671870471807,0.11313683764112506
14,0.8432225523517817,0.00036139634423996086,0.005320942371084144,0.040484640168943806,0.11061046876395053
15,0.902304334541003,6.766473479136506e-05,0.0018691026818086736,0.08235306515604345,0.013405832886353285
16,0.8251549336706018,0.00019825221643263164,0.0012501583474422726,0.10022143774487838,0.07317521802064514
17,0.29658810832733956,0.0004343262636529239,0.03852340140319497,0.5469605291406741,0.1174936348651384
18,0.3872927471082374,0.00022692124403845366,0.0044579310233118785,0.5879716191327153,0.020050781491696926
19,0.20583474433111779,0.0012799132340049306,0.030356785513380988,0.20949089183853178,0.5530376650829645
20,0.0023443160125119935,0.0012151088755494963,0.4090592992797765,0.00973171356484086,0.5776495622673212
21,0.581042527298515,0.000155980600825652,0.017236698938937502,0.30569667152867125,0.09586812163305038
22,1.0576433606025964e-05,0.0034087911169359817,0.0981061598444566,0.0005309592728144843,0.897943513332187
23,0.6366005255877211,0.0005396053141801992,0.003880029557418211,0.15482830552470117,0.2041515340159794
24,2.782445224100303e-05,0.0014504382084211346,0.014565513305433734,0.00024169788056463493,0.9837145261533395
25,0.7875686825539616,0.0015926418635815811,0.00355044928084444,0.10288808839977762,0.10440013790183465
26,0.2192511801655773,0.0006419734726917997,0.1322948775966315,0.035126050501818384,0.612685918263281
27,0.9221733410840791,0.00028642526375242445,0.0004562058684169273,0.006697089705622113,0.07038693807812929
28,0.004009738426040535,0.013505058402956845,0.1608695283524684,0.0016526592690162966,0.819963015549518
